block	content_delta_rms_mean_over_timesteps	style_delta_rms_mean_over_timesteps	content_delta_over_style_delta_mean	tendency
1	0.1741821418205897	0.1554675151904424	1.1951175133387248	content
2	0.16657017171382904	0.19511961191892624	0.8963884711265564	style
3	0.1921671281258265	0.2420908361673355	0.8224608699480692	style
4	0.28273942569891614	0.22985988358656564	1.2559881210327148	content
5	0.23997010787328085	0.3032176693280538	0.8053720990816752	style
6	0.2816423575083415	0.2663368582725525	1.0682673851648967	content
7	0.3432053029537201	0.23810401558876038	1.4868085781733196	content
8	0.36152104536692303	0.2624678760766983	1.425428072611491	content
9	0.5757361054420471	0.41215325395266217	1.4645779132843018	content
10	0.3603937327861786	0.47760118047396344	0.7909081975618998	style
11	0.3068406979242961	0.408599058787028	0.834792971611023	style
12	0.5753179589907328	0.5741753081480662	1.249499003092448	content
