sample_pos	sample_index	font	target_char	groups	normal_vs_trimmed_cosine_mean	normal_vs_trimmed_cosine_median	normal_vs_trimmed_cosine_std	normal_vs_trimmed_cosine_min	normal_vs_trimmed_cosine_max	normal_vs_trimmed_cosine_q1	normal_vs_trimmed_cosine_q3	l1_mean	l1_median	l1_std	l1_min	l1_max	l1_q1	l1_q3	rmse_mean	rmse_median	rmse_std	rmse_min	rmse_max	rmse_q1	rmse_q3	max_abs_mean	max_abs_median	max_abs_std	max_abs_min	max_abs_max	max_abs_q1	max_abs_q3	relative_l1_to_normal_abs_mean_mean	relative_l1_to_normal_abs_mean_median	relative_l1_to_normal_abs_mean_std	relative_l1_to_normal_abs_mean_min	relative_l1_to_normal_abs_mean_max	relative_l1_to_normal_abs_mean_q1	relative_l1_to_normal_abs_mean_q3	normal_cross_group_cosine_mean	normal_cross_group_cosine_median	normal_cross_group_cosine_std	normal_cross_group_cosine_min	normal_cross_group_cosine_max	normal_cross_group_cosine_q1	normal_cross_group_cosine_q3	trimmed_cross_group_cosine_mean	trimmed_cross_group_cosine_median	trimmed_cross_group_cosine_std	trimmed_cross_group_cosine_min	trimmed_cross_group_cosine_max	trimmed_cross_group_cosine_q1	trimmed_cross_group_cosine_q3
0	192158	方正水柱简体	更	8	0.9979686141014099	0.9980523586273193	0.0005057716625742614	0.9967474937438965	0.9985610246658325	0.9979225397109985	0.9982367157936096	0.03244056552648544	0.03087252750992775	0.0033592088147997856	0.028736421838402748	0.03965379297733307	0.03045763447880745	0.032971322536468506	0.04355508089065552	0.04114174470305443	0.005063918419182301	0.038489531725645065	0.05475902184844017	0.04030011221766472	0.044646963477134705	0.2978746294975281	0.2660929262638092	0.045603565871715546	0.2474161833524704	0.3818868100643158	0.2629547119140625	0.3344500958919525	0.06041035056114197	0.05817926302552223	0.007319041062146425	0.05032292753458023	0.07671703398227692	0.05664834380149841	0.06194741278886795	0.9685677289962769	0.969577968120575	0.008958349004387856	0.94870924949646	0.9835647344589233	0.9614326357841492	0.9753676652908325	0.9667008519172668	0.9673717021942139	0.008261783979833126	0.9482910633087158	0.9808168411254883	0.9608590006828308	0.9729325771331787
1	73194	方正兰亭黑长简体	榆	8	0.9984519481658936	0.9986201524734497	0.0008051912300288677	0.9963873028755188	0.9991812109947205	0.9985365867614746	0.9988080859184265	0.03186680004000664	0.03110676072537899	0.005086246412247419	0.02514290064573288	0.043823305517435074	0.029653672128915787	0.03216850012540817	0.042936984449625015	0.04185887426137924	0.00734342448413372	0.033144112676382065	0.060192812234163284	0.03994613513350487	0.0436384417116642	0.3016805350780487	0.27555346488952637	0.0716354250907898	0.23111963272094727	0.47802734375	0.26570063829421997	0.306915283203125	0.0545697845518589	0.04962143301963806	0.013954633846879005	0.040301647037267685	0.08960667252540588	0.04808938130736351	0.05485109984874725	0.9733651876449585	0.9782068729400635	0.011678755283355713	0.946850061416626	0.9877486228942871	0.9704684019088745	0.9812052845954895	0.972900927066803	0.9762026071548462	0.009574797935783863	0.950163722038269	0.9856172204017639	0.9698160886764526	0.9792081117630005
2	233303	方正粗黑宋简体	它	8	0.9986797571182251	0.9986639618873596	0.0003486406058073044	0.9978998899459839	0.9990896582603455	0.998578667640686	0.9989526271820068	0.02749551273882389	0.027567964047193527	0.002364078536629677	0.024532217532396317	0.03241988271474838	0.025825442746281624	0.028338387608528137	0.03682778775691986	0.03678947314620018	0.00355912814848125	0.03241969272494316	0.044668734073638916	0.0344221368432045	0.03759501874446869	0.2541774809360504	0.23356127738952637	0.04099056124687195	0.21327972412109375	0.3399192690849304	0.22940826416015625	0.26120665669441223	0.050552450120449066	0.05020807683467865	0.006050487514585257	0.04254581779241562	0.06260057538747787	0.04561738669872284	0.05340038985013962	0.978887677192688	0.9781193137168884	0.006501007359474897	0.9659815430641174	0.9893813729286194	0.9750173091888428	0.9848335981369019	0.9771537184715271	0.9760615229606628	0.006600595079362392	0.9626647233963013	0.9877729415893555	0.9732104539871216	0.9825505018234253
3	157222	方正敬酷黑 简	且	8	0.9987841844558716	0.9988072514533997	0.00022437555890064687	0.998477578163147	0.9990506172180176	0.9985467791557312	0.9989611506462097	0.030385367572307587	0.02891683764755726	0.002536881249397993	0.0274689681828022	0.034226082265377045	0.028487252071499825	0.03281344100832939	0.04063275456428528	0.038337815552949905	0.0034629504662007093	0.036436546593904495	0.04548335075378418	0.03788067400455475	0.044042449444532394	0.2666218876838684	0.25341796875	0.0313134491443634	0.22696936130523682	0.33296704292297363	0.2465006709098816	0.2806905508041382	0.04854210466146469	0.04606761783361435	0.004936011973768473	0.04254752770066261	0.054801590740680695	0.04474148899316788	0.05442681163549423	0.981742799282074	0.981302797794342	0.00421949801966548	0.9715453386306763	0.9881384372711182	0.979922354221344	0.9855057001113892	0.9802801012992859	0.9801669120788574	0.004254537634551525	0.9708685874938965	0.9870452284812927	0.9779794812202454	0.9837636947631836
4	191991	方正水云简体_纤	书	8	0.9989343285560608	0.9990204572677612	0.00021443729929160327	0.998407781124115	0.9991328716278076	0.9989044666290283	0.9990497827529907	0.02902495674788952	0.028014153242111206	0.0024203716311603785	0.026612820103764534	0.034856993705034256	0.027629436925053596	0.029302000999450684	0.038802191615104675	0.036856938153505325	0.0034093025606125593	0.035785697400569916	0.04700423777103424	0.0367627777159214	0.039428867399692535	0.24396198987960815	0.2292633056640625	0.032688628882169724	0.2030029296875	0.3169352412223816	0.22631847858428955	0.2545318603515625	0.046197932213544846	0.04453236609697342	0.0045396373607218266	0.04127344489097595	0.05731240659952164	0.043901294469833374	0.046421729028224945	0.9815453886985779	0.9822056889533997	0.0039556315168738365	0.9687737822532654	0.9876254796981812	0.9799935817718506	0.9840143918991089	0.9796070456504822	0.9805715680122375	0.004397090990096331	0.9658074378967285	0.9860655069351196	0.9784737825393677	0.9819789528846741
5	241059	方正细金陵简体	泌	8	0.9986677765846252	0.9986326694488525	0.00021221641509328038	0.9983632564544678	0.9989175796508789	0.9984719753265381	0.9988608360290527	0.027660487219691277	0.02649424783885479	0.0019832169637084007	0.025081682950258255	0.030425231903791428	0.02614949829876423	0.0293950866907835	0.03670386224985123	0.03501062095165253	0.0028686891309916973	0.03328501805663109	0.04096263647079468	0.034455880522727966	0.03915301710367203	0.23794874548912048	0.2336018681526184	0.0189315527677536	0.20623779296875	0.271484375	0.22582881152629852	0.2497202455997467	0.050880614668130875	0.04821154847741127	0.0039657666347920895	0.04592100530862808	0.05673523247241974	0.047437310218811035	0.05435287579894066	0.9797077775001526	0.9799458980560303	0.003774454118683934	0.9694143533706665	0.9857816100120544	0.978347897529602	0.9821508526802063	0.977716863155365	0.9784657955169678	0.003921246621757746	0.9674586057662964	0.9840393662452698	0.9758877754211426	0.9801403284072876
6	37593	华康楷体W5-A	蚀	8	0.9988745450973511	0.9988168478012085	0.0002488437166903168	0.9983614683151245	0.9991724491119385	0.9987765550613403	0.9990588426589966	0.02714802883565426	0.025746550410985947	0.002207281067967415	0.025021694600582123	0.0314769521355629	0.025192655622959137	0.02823730930685997	0.036055900156497955	0.03384319692850113	0.0031039745081216097	0.03317100927233696	0.04235653951764107	0.03334902226924896	0.037333738058805466	0.2435525357723236	0.2276611328125	0.03398992121219635	0.20279943943023682	0.3233642578125	0.22334925830364227	0.2509053945541382	0.04664964973926544	0.04335726797580719	0.005011853761970997	0.0404520221054554	0.056769758462905884	0.043045464903116226	0.04904936999082565	0.9811894297599792	0.9797608852386475	0.004038296639919281	0.9731258749961853	0.989094078540802	0.9780188798904419	0.9838783740997314	0.9792965054512024	0.9777553677558899	0.003936964087188244	0.9724915623664856	0.987574577331543	0.976257860660553	0.9819934368133545
7	122753	方正字汇-龙龙秀楷体 简	真	8	0.997944712638855	0.9979472756385803	0.0004627729067578912	0.9968987107276917	0.9985047578811646	0.9979009628295898	0.998113751411438	0.031375084072351456	0.031779296696186066	0.0026582919526845217	0.02698475867509842	0.0363154262304306	0.029754571616649628	0.03236480802297592	0.04159562662243843	0.04206790775060654	0.003546126652508974	0.035563789308071136	0.048006124794483185	0.03948214277625084	0.04326323792338371	0.2747560739517212	0.233428955078125	0.06374631822109222	0.2144368290901184	0.423828125	0.232859268784523	0.2866515815258026	0.06376417726278305	0.06367601454257965	0.0076743257232010365	0.053875457495450974	0.08078665286302567	0.06089701130986214	0.06477105617523193	0.9659292101860046	0.9649931788444519	0.00694353599101305	0.952019214630127	0.9791262149810791	0.9608273506164551	0.9709546566009521	0.9626563787460327	0.9609567523002625	0.006754294037818909	0.9505928754806519	0.9765781760215759	0.9573790431022644	0.966781497001648
8	32555	书体坊郑板桥体 简	咆	8	0.9974033832550049	0.9972470998764038	0.0004868187243118882	0.9966583847999573	0.9982685446739197	0.997162938117981	0.9976533651351929	0.03397189453244209	0.03362176567316055	0.0024287067353725433	0.02993510104715824	0.037223778665065765	0.03229738399386406	0.03624546155333519	0.04491770267486572	0.04466535896062851	0.003289455082267523	0.039469122886657715	0.04933764040470123	0.042554162442684174	0.047634437680244446	0.28549909591674805	0.282958984375	0.038532719016075134	0.23272705078125	0.3597818613052368	0.2536640167236328	0.3009745180606842	0.06978171318769455	0.069520503282547	0.007087008561939001	0.05720328167080879	0.08072025328874588	0.06649685651063919	0.07347182929515839	0.9599793553352356	0.9606075286865234	0.007397654931992292	0.9423210024833679	0.9720412492752075	0.9551156759262085	0.96463543176651	0.9563410878181458	0.9575085639953613	0.007936046458780766	0.9374332427978516	0.9690019488334656	0.9512261152267456	0.9610686302185059
9	227062	方正粗圆简体	邢	8	0.9985983967781067	0.9987267851829529	0.000507495307829231	0.9973503947257996	0.9990478157997131	0.9985818862915039	0.9988521933555603	0.03310248628258705	0.031156104058027267	0.004660249222069979	0.029254741966724396	0.04473536089062691	0.030395548790693283	0.03329682722687721	0.044850774109363556	0.04111216589808464	0.008157853968441486	0.038720812648534775	0.06567133963108063	0.040622152388095856	0.04472453519701958	0.3175141215324402	0.2834676206111908	0.10976362228393555	0.2235310822725296	0.5843100547790527	0.2503296434879303	0.31443530321121216	0.05126262083649635	0.048270922154188156	0.009221398271620274	0.042192235589027405	0.07347654551267624	0.04679184406995773	0.05162224918603897	0.977290689945221	0.9769340753555298	0.004843414295464754	0.9668024182319641	0.9886236190795898	0.9744303822517395	0.9812723994255066	0.9750204682350159	0.9748544692993164	0.005102743394672871	0.9641903638839722	0.9869272708892822	0.9716699719429016	0.9789323210716248
