token_idx	y	x	best_ref	ref0_mass	ref1_mass	ref2_mass	ref3_mass	ref4_mass	ref5_mass	ref6_mass	ref7_mass	ref0_same	ref1_same	ref2_same	ref3_same	ref4_same	ref5_same	ref6_same	ref7_same
0	0	0	7	0.171153	0.045759	0.176963	0.121618	0.120742	0.092607	0.084942	0.186216	0.000029	0.000034	0.000040	0.000041	0.000035	0.000022	0.000042	0.000044
1	0	1	0	0.185735	0.043243	0.156029	0.127660	0.098378	0.104358	0.107941	0.176656	0.000024	0.000031	0.000051	0.000047	0.000032	0.000019	0.000044	0.000042
2	0	2	0	0.199804	0.047777	0.161799	0.104320	0.096084	0.117072	0.107094	0.166051	0.000025	0.000032	0.000037	0.000038	0.000031	0.000022	0.000035	0.000038
3	0	3	0	0.192562	0.059467	0.177009	0.099674	0.100774	0.105322	0.093661	0.171531	0.000022	0.000031	0.000033	0.000030	0.000027	0.000019	0.000031	0.000030
4	0	4	0	0.198710	0.058083	0.187729	0.098337	0.105483	0.094200	0.087310	0.170149	0.000022	0.000041	0.000070	0.000030	0.000027	0.000019	0.000041	0.000028
5	0	5	0	0.205891	0.058595	0.185827	0.091688	0.127977	0.089449	0.074532	0.166041	0.000019	0.000073	0.000067	0.000025	0.000025	0.000015	0.000043	0.000025
6	0	6	0	0.197754	0.052170	0.176756	0.081066	0.171193	0.097659	0.072737	0.150665	0.000026	0.000119	0.000094	0.000031	0.000033	0.000024	0.000069	0.000051
7	0	7	0	0.197167	0.054188	0.164639	0.084984	0.171155	0.109786	0.076472	0.141609	0.000040	0.000135	0.000157	0.000041	0.000058	0.000044	0.000051	0.000199
8	0	8	0	0.199418	0.054254	0.170045	0.085412	0.155304	0.119276	0.078718	0.137573	0.000130	0.000225	0.000180	0.000068	0.000100	0.000060	0.000035	0.000290
9	0	9	0	0.213923	0.053775	0.175650	0.085887	0.116965	0.119055	0.085587	0.149158	0.000522	0.000428	0.000138	0.000121	0.000035	0.000032	0.000029	0.000140
10	0	10	0	0.219939	0.048435	0.184822	0.089983	0.099925	0.108150	0.085019	0.163726	0.000154	0.000097	0.000074	0.000080	0.000020	0.000015	0.000017	0.000116
11	0	11	0	0.225561	0.054566	0.167517	0.099303	0.085499	0.103391	0.088776	0.175388	0.000148	0.000050	0.000032	0.000046	0.000019	0.000015	0.000017	0.000059
12	0	12	0	0.227466	0.056381	0.165026	0.107446	0.083639	0.098554	0.087674	0.173815	0.000084	0.000028	0.000027	0.000039	0.000017	0.000014	0.000018	0.000041
