rank	sample_pos	token_idx	channel_idx	mean	median	std	min	max	range	iqr	outlier_count	ref_values
1	85	98	70	0.4151199162006378	-0.5499780774116516	1.5438181161880493	-0.8884710669517517	3.3273820877075195	4.215853214263916	1.7745918035507202	0	-0.54997808,-0.3297433,-0.68059039,1.6121204,3.3273821,-0.88847107
2	85	52	70	0.42001187801361084	-0.49316754937171936	1.5154924392700195	-1.0566154718399048	3.13154935836792	4.188164710998535	1.7614327669143677	0	-0.49755031,-1.0566155,-0.37617353,1.8120288,3.1315494,-0.49316755
3	85	66	70	0.15568426251411438	-0.654463529586792	1.4161397218704224	-1.2854667901992798	2.867556095123291	4.153022766113281	1.479386806488037	0	-1.2854668,-0.65446353,-0.31180695,1.0882919,2.8675561,-0.77000505
4	85	82	70	0.15646637976169586	-0.6888827085494995	1.5283843278884888	-1.1402068138122559	2.9992616176605225	4.139468193054199	1.8496161699295044	0	-1.1402068,-0.59838778,-0.68888271,1.401502,2.9992616,-1.034488
5	85	51	70	0.2931229770183563	-0.7842121720314026	1.558598279953003	-0.9356439709663391	3.163806200027466	4.09945011138916	1.9522782564163208	0	-0.86452848,-0.93564397,-0.44668356,1.6259997,3.1638062,-0.78421217
6	43	55	181	3.1651341915130615	3.157965898513794	1.2679736614227295	0.617813766002655	4.7091851234436035	4.091371536254883	0.7969331741333008	1	3.9079912,2.9940312,3.6038184,0.61781377,3.1579659,4.7091851
7	97	44	144	-2.1974120140075684	-2.2878763675689697	1.2237868309020996	-4.223914623260498	-0.1361386477947235	4.087776184082031	0.8526415824890137	2	-4.2239146,-2.2878764,-2.7168534,-2.2155981,-1.6040907,-0.13613865
8	93	133	102	2.724259376525879	3.229444742202759	1.4851230382919312	0.5383455753326416	4.564868450164795	4.026522636413574	2.153327226638794	0	0.88743895,3.2294447,0.53834558,3.4356513,3.6898065,4.5648685
9	85	67	70	0.2836305797100067	-0.6006853580474854	1.4556243419647217	-1.0837981700897217	2.9273340702056885	4.01113224029541	1.922404408454895	0	-0.90757853,-1.0837982,-0.13333155,1.4998428,2.9273341,-0.60068536
10	85	35	70	0.3225913643836975	-0.6286675930023193	1.4980329275131226	-0.8625253438949585	3.1175200939178467	3.9800453186035156	1.667987585067749	0	-0.65193474,-0.62866759,-0.60200566,1.5631614,3.1175201,-0.86252534
11	93	38	102	3.0759785175323486	3.813680410385132	1.5432244539260864	0.7127859592437744	4.69222354888916	3.9794375896453857	2.227715015411377	0	1.1559308,3.8136804,0.71278596,4.0555401,4.0257125,4.6922235
12	85	83	70	0.31462034583091736	-0.7511755228042603	1.4929732084274292	-0.9320775866508484	3.0316481590270996	3.9637258052825928	1.9416313171386719	0	-0.93207759,-0.81037873,-0.26754832,1.617254,3.0316482,-0.75117552
