rank	sample_pos	token_idx	channel_idx	mean	median	std	min	max	range	iqr	outlier_count	ref_values
1	68	138	67	0.14051902294158936	-0.3169129192829132	3.6067655086517334	-5.690559387207031	6.305120944976807	11.99567985534668	2.7115330696105957	2	1.4922065,-5.6905594,-0.31691292,-1.7498353,6.3051209,0.80309463
2	68	226	67	-1.5819743871688843	-3.789342164993286	3.8760693073272705	-4.570652961730957	6.545568466186523	11.11622142791748	3.0673208236694336	1	-4.570653,-3.7893422,-0.47814,6.5455685,-2.9208698,-4.2784104
3	95	90	94	0.9652487635612488	-1.129643201828003	3.7351157665252686	-2.835911750793457	8.124306678771973	10.96021842956543	4.18833065032959	0	-1.1296432,-2.8359118,8.1243067,0.32058206,3.2065954,-1.8944366
4	68	139	67	0.30930158495903015	-1.1246235370635986	3.568553924560547	-3.7020301818847656	7.120779514312744	10.822809219360352	3.82654070854187	0	0.76237679,-3.7020302,-2.8368735,-1.1246235,7.1207795,1.6361806
5	19	221	87	0.06669533252716064	-1.1437350511550903	3.370361804962158	-5.744932651519775	4.989455223083496	10.73438835144043	3.3707454204559326	0	-1.1437351,4.9894552,2.314836,-1.3525476,-5.7449327,1.337096
6	90	235	82	-1.7573604583740234	-1.3580260276794434	3.4586052894592285	-6.423928260803223	4.3076958656311035	10.731624603271484	3.4035704135894775	1	-1.2490474,-1.358026,-5.1613121,4.3076959,-6.4239283,-0.65954453
7	96	234	67	0.6450758576393127	0.8834832906723022	3.1471991539001465	-4.985467433929443	5.60273551940918	10.588203430175781	1.8487622737884521	2	-4.9854674,5.6027355,0.88348329,-0.58853692,1.7773402,1.1809007
8	90	219	91	-0.02536390721797943	0.36923643946647644	3.263631582260132	-6.5123982429504395	4.040229797363281	10.552627563476562	2.111937999725342	1	4.0402298,-0.68886405,2.0553923,-6.5123982,0.58422005,0.36923644
9	68	230	67	1.1312304735183716	1.8581624031066895	4.009067058563232	-4.914209842681885	5.600094318389893	10.514304161071777	6.393494606018066	0	1.8581624,3.7054923,5.6000943,-3.6855199,4.2233629,-4.9142098
10	19	235	81	-1.1578397750854492	-0.7940080165863037	3.318145990371704	-7.727232456207275	2.762767791748047	10.489999771118164	2.668947696685791	1	1.0584736,-7.7272325,-0.79400802,-0.0086893663,2.7627678,-2.2383504
11	0	40	87	-0.5785412192344666	0.3588193655014038	3.406827926635742	-7.578571319580078	2.831411361694336	10.409982681274414	2.584153413772583	1	0.35881937,2.8314114,1.7582002,-7.5785713,-1.5654848,0.72437781
12	61	228	67	0.2304466962814331	0.323768675327301	3.1350975036621094	-5.625692367553711	4.730514049530029	10.356206893920898	2.149496078491211	1	0.32376868,1.5801067,1.3258456,-0.95186251,-5.6256924,4.730514
13	49	133	82	-0.5041823983192444	-0.6535561084747314	3.2433080673217773	-4.655023097991943	5.623751640319824	10.27877426147461	2.7455787658691406	1	0.29211855,-0.36118805,5.6237516,-3.2711973,-0.65355611,-4.6550231
14	36	43	108	-0.4603002965450287	-0.9893704056739807	2.99444317817688	-5.5266804695129395	4.706501483917236	10.233181953430176	1.2540216445922852	2	-0.98937041,4.7065015,-5.5266805,-0.39458716,0.45805115,-1.0157167
15	86	233	99	-0.43679872155189514	-1.226194977760315	3.2552390098571777	-5.096498489379883	5.132960796356201	10.229459762573242	3.5322484970092773	0	5.1329608,-0.63360649,1.8573411,-2.6547942,-5.0964985,-1.226195
16	9	43	111	0.7423540949821472	1.085228443145752	3.637359857559204	-5.119062423706055	5.052760601043701	10.171823501586914	5.504832744598389	0	1.0852284,-2.8019648,4.2307515,5.0527606,-5.1190624,2.0064113
17	32	203	82	0.18988220393657684	0.34392449259757996	3.0760958194732666	-5.826640605926514	4.315980911254883	10.142621994018555	1.8179352283477783	2	1.6914661,-5.8266406,1.0962386,0.34392449,-0.4816761,4.3159809
18	68	42	67	-0.7449485659599304	-3.132493019104004	3.708505868911743	-4.634393215179443	5.508204460144043	10.142597198486328	5.5719804763793945	0	2.7347729,-3.132493,-0.97155958,-4.6343932,-3.9742229,5.5082045
19	1	43	108	0.3238438069820404	0.778928816318512	3.284708023071289	-6.314597129821777	3.7844977378845215	10.09909439086914	2.7592926025390625	1	-0.68645304,2.6880264,1.6926602,3.7844977,0.77892882,-6.3145971
20	92	229	67	1.593126893043518	1.0008803606033325	3.390976905822754	-4.284473419189453	5.80340576171875	10.087879180908203	4.21557092666626	0	1.0008804,-0.069128223,5.8034058,5.2738514,-4.2844734,1.8342254
21	85	85	67	-0.026436099782586098	-0.7248775362968445	3.135850667953491	-4.053226470947266	6.031473159790039	10.084699630737305	2.3692400455474854	1	-2.2971618,0.39746565,6.0314732,-4.0532265,0.4877106,-0.72487754
22	19	58	94	0.8781921863555908	-0.5231198668479919	3.232969284057617	-3.037574291229248	7.011521339416504	10.049095153808594	3.092189311981201	1	-1.1606665,-3.0375743,2.692323,7.0115213,-0.52311987,0.28666943
23	36	235	81	-0.9547839164733887	-1.8473302125930786	3.0234973430633545	-5.906036853790283	4.131601333618164	10.037637710571289	2.1714038848876953	2	-1.8737911,0.72502959,-0.95817643,-5.9060369,4.1316013,-1.8473302
24	19	155	67	0.017203113064169884	-1.3831367492675781	3.278183698654175	-3.490817070007324	6.545965194702148	10.036782264709473	3.0133328437805176	1	-0.12866803,-1.3831367,6.5459652,-2.5198729,-3.4908171,1.079748
25	22	38	67	0.7655060887336731	0.6964479684829712	3.2503771781921387	-4.957867622375488	5.065474987030029	10.02334213256836	3.609570264816284	0	0.69644797,0.92238849,-0.93542701,-4.9578676,3.8020198,5.065475
26	18	73	91	0.040459033101797104	-1.509508490562439	3.3438079357147217	-4.3871660232543945	5.604534149169922	9.991700172424316	4.3081512451171875	0	5.6045341,2.9644349,-1.5095085,-4.387166,-2.3148329,-0.11470702
27	44	221	94	-0.3299262523651123	-0.9975100755691528	3.000218629837036	-4.337474346160889	5.646667003631592	9.98414134979248	1.2441160678863525	2	-0.026455814,-0.68400794,-0.99751008,-1.5807766,-4.3374743,5.646667
